1;1;1;18:00;2025-03-20
2;2;2;20:00;2025-03-20
3;3;3;17:30;2025-03-21
4;1;2;21:00;2025-03-21
5;2;1;16:00;2025-03-22
6;3;2;18:30;2025-03-22
7;1;3;20:00;2025-03-22
8;4;1;14:00;2025-03-23
9;2;2;17:15;2025-03-23
10;3;3;19:45;2025-03-23
11;1;1;21:30;2025-03-23
12;4;2;15:30;2025-03-24
13;2;3;18:00;2025-03-24
14;3;1;20:30;2025-03-24
15;1;2;13:45;2025-03-25
16;4;3;16:15;2025-03-25
17;2;1;18:45;2025-03-25
18;3;2;21:15;2025-03-25
19;1;3;14:30;2025-03-26
20;4;1;17:00;2025-03-26
21;2;2;19:30;2025-03-26
22;3;3;22:00;2025-03-26
23;1;1;12:00;2025-03-27
24;4;2;14:30;2025-03-27
25;2;3;17:00;2025-03-27
26;3;1;19:30;2025-03-27
27;1;2;21:45;2025-03-27
28;4;3;13:15;2025-03-28
29;2;1;15:45;2025-03-28
30;3;2;18:15;2025-03-28
