1;2025-03-01;1;1;1
2;2025-03-01;2;2;1
3;2025-03-02;3;3;2
4;2025-03-02;4;4;2
5;2025-03-03;5;5;3
6;2025-03-03;1;6;1
7;2025-03-04;2;7;2
8;2025-03-04;3;8;3
9;2025-03-05;4;9;1
10;2025-03-05;5;10;2
11;2025-03-06;6;11;3
12;2025-03-06;7;12;1
13;2025-03-07;8;13;2
14;2025-03-07;10;14;3
15;2025-03-08;1;2;1
16;2025-03-08;2;3;2
17;2025-03-09;3;4;3
18;2025-03-09;7;5;1
19;2025-03-10;11;6;2
20;2025-03-10;12;7;3
21;2025-03-11;13;8;1
22;2025-03-11;15;9;2
23;2025-03-12;11;10;3
24;2025-03-12;12;11;1
25;2025-03-13;13;12;2
26;2025-03-13;15;13;3
27;2025-03-14;16;14;1
28;2025-03-14;17;1;2
29;2025-03-15;19;2;3
30;2025-03-15;20;3;1
31;2025-03-16;16;4;2
32;2025-03-16;17;5;3
33;2025-03-17;19;6;1
34;2025-03-17;20;7;2
35;2025-03-18;21;8;3
36;2025-03-18;22;9;1
37;2025-03-19;24;10;2
38;2025-03-19;25;11;3
39;2025-03-20;21;12;1
40;2025-03-20;22;13;2
41;2025-03-21;24;14;3
42;2025-03-22;2;1;1
43;2025-03-23;2;4;2
